,brandName,price,engine,pradesh,lotNumber,mileage,kmRun,makeYear
0,Honda,80000,125,Bagmati,49,50,47654,2011
1,Bajaj,113000,150,Bagmati,71,40,21000,2015
2,Bajaj,110000,200,Bagmati,53,35,33800,2012
3,Suzuki,110000,150,Bagmati,69,45,40000,2014
4,Bajaj,265000,200,Bagmati,18,40,10000,2020
5,Bajaj,168000,200,Bagmati,90,35,19000,2017
6,Yamaha,335000,155,Bagmati,118,48,14000,2019
7,Bajaj,230000,200,Bagmati,115,32,22000,2020
8,Honda,185000,110,Bagmati,126,36,22000,2021
9,Yamaha,335000,155,Bagmati,118,48,14000,2019
10,Royal Enfield,410000,350,Bagmati,103,35,14000,2018
11,Royal Enfield,269999,350,Bagmati,33,35,25000,2008
12,Yamaha,110000,125,Bagmati,87,55,30500,2017
13,TVS,299999,125,Bagmati,25,30,12000,2021
14,Bajaj,158000,200,Bagmati,90,35,19000,2017
15,Bajaj,128000,200,Bagmati,69,35,19000,2015
16,Honda,155900,125,Bagmati,104,35,23080,2019
17,Cfmoto,278000,250,Bagmati,109,35,23080,2019
18,Bajaj,82500,150,Bagmati,48,70,11000,2010
19,Bajaj,80000,200,Bagmati,52,45,31000,2012
20,Honda,195000,110,Bagmati,36,45,31000,2022
21,Yamaha,177000,150,Bagmati,102,40,25000,2018
22,Honda,90000,160,Bagmati,69,45,23000,2016
23,Bajaj,130000,220,Gandaki,9,30,23000,2014
24,Yamaha,169000,150,Bagmati,99,55,26000,2018
25,Yamaha,59000,110,Bagmati,59,45,26000,2013
26,Yamaha,115000,110,Bagmati,109,45,10000,2019
27,Bajaj,259000,220,Bagmati,132,45,8000,2021
28,Bajaj,285000,220,Bagmati,130,45,8500,2021
29,Bajaj,279000,220,Bagmati,129,45,10000,2021
30,Bajaj,249000,220,Bagmati,126,45,11000,2021
31,Bajaj,239000,220,Bagmati,124,45,12000,2021
32,Bajaj,229000,220,Bagmati,119,45,19000,2020
33,Bajaj,199000,220,Bagmati,111,45,18000,2019
34,Bajaj,155000,220,Bagmati,92,45,30000,2017
35,Bajaj,145000,220,Bagmati,88,45,26000,2017
36,Bajaj,105000,220,Bagmati,69,45,30000,2015
37,Bajaj,89000,220,Bagmati,49,45,36000,2011
38,Bajaj,88000,220,Bagmati,62,45,36000,2014
39,Aprilia,180000,150,Bagmati,103,35,29000,2019
40,Bajaj,71000,150,Bagmati,71,47,30000,2015
41,Bajaj,212000,150,Bagmati,129,47,10000,2021
42,Bajaj,136000,150,Bagmati,93,47,26000,2018
43,Bajaj,119000,150,Bagmati,86,45,30000,2017
44,Bajaj,95000,150,Bagmati,62,47,30000,2014
45,Bajaj,82000,150,Bagmati,59,45,36000,2013
46,Yamaha,310000,150,Bagmati,137,45,6000,2022
47,Hero,83000,110,Bagmati,84,40,17000,2017
48,Bajaj,166000,200,Bagmati,95,30,21000,2018
49,Bajaj,150000,150,Bagmati,106,48,12000,2020
50,Hero,69999,110,Bagmati,78,35,18000,2016
51,Honda,79999,125,Bagmati,44,45,28000,2010
52,Honda,124999,160,Bagmati,77,35,32000,2016
53,Yamaha,125000,150,Bagmati,73,45,28000,2016
54,Bajaj,154999,150,Bagmati,99,42,15680,2018
55,Bajaj,165000,220,Bagmati,101,35,45000,2018
56,Bajaj,270000,200,Bagmati,101,35,45000,2019
57,Honda,84999,110,Bagmati,60,38,22000,2013
58,Honda,175000,110,Bagmati,120,45,14000,2020
59,Bajaj,165000,200,Bagmati,90,30,19000,2017
